"_id",bike,custId,decease,dob,fName,gender,j_Indu,job_title,lName,own_car,tenure,wealth
5ec615162b1eb004f0687b4c,93,1,N,1953-10-12T00:00:00.000Z,Laraine,F,Health,Executive Secretary,Medendorp,Yes,11,Mass Customer
5ec615172b1eb004f0687b4d,81,2,N,1980-12-16T00:00:00.000Z,Eli,Male,Financial Services,Administrative Officer,Bockman,Yes,16,Mass Customer
5ec615172b1eb004f0687b4e,61,3,N,1954-01-20T00:00:00.000Z,Arlin,Male,Property,Recruiting Manager,Dearle,Yes,15,Mass Customer
5ec615172b1eb004f0687b4f,33,4,N,1961-10-03T00:00:00.000Z,Talbot,Male,IT,NaN,NaN,No,7,Mass Customer
5ec615172b1eb004f0687b50,56,5,N,1977-05-13T00:00:00.000Z,Sheila-kathryn,Female,NaN,Senior Editor,Calton,Yes,8,Affluent Customer
5ec615172b1eb004f0687b51,35,6,N,1966-09-16T00:00:00.000Z,Curr,Male,Retail,NaN,Duckhouse,Yes,13,High Net Worth
5ec615172b1eb004f0687b52,6,7,N,1976-02-23T00:00:00.000Z,Fina,Female,Financial Services,NaN,Merali,Yes,11,Affluent Customer
5ec615172b1eb004f0687b53,31,8,N,1962-03-30T00:00:00.000Z,Rod,Male,NaN,Media Manager I,Inder,No,7,Mass Customer
5ec615172b1eb004f0687b54,97,9,N,1973-03-10T00:00:00.000Z,Mala,Female,Argiculture,Business Systems Development Analyst,Lind,Yes,8,Affluent Customer
5ec615172b1eb004f0687b55,49,10,N,1988-10-11T00:00:00.000Z,Fiorenze,Female,Financial Services,Senior Quality Engineer,Birdall,Yes,20,Mass Customer
5ec615172b1eb004f0687b56,99,11,N,1954-04-30T00:00:00.000Z,Uriah,Male,Property,NaN,Bisatt,No,9,Mass Customer
5ec615172b1eb004f0687b57,58,12,N,1994-07-21T00:00:00.000Z,Sawyere,Male,Manufacturing,Nuclear Power Engineer,Flattman,No,8,Mass Customer
5ec615172b1eb004f0687b58,38,13,N,1955-02-15T00:00:00.000Z,Gabriele,Male,Financial Services,Developer I,Norcross,Yes,8,High Net Worth
5ec615172b1eb004f0687b59,85,14,N,1983-03-25T00:00:00.000Z,Rayshell,Female,Financial Services,Account Executive,Kitteman,No,6,Affluent Customer
5ec615172b1eb004f0687b5a,91,15,N,2000-07-13T00:00:00.000Z,Erroll,Male,Manufacturing,Junior Executive,Radage,No,1,Mass Customer
5ec615322b1eb004f0687b5c,93,1,N,1953-10-12T00:00:00.000Z,Laraine,F,Health,Executive Secretary,Medendorp,Yes,11,Mass Customer
5ec615322b1eb004f0687b5d,81,2,N,1980-12-16T00:00:00.000Z,Eli,Male,Financial Services,Administrative Officer,Bockman,Yes,16,Mass Customer
5ec615322b1eb004f0687b5e,61,3,N,1954-01-20T00:00:00.000Z,Arlin,Male,Property,Recruiting Manager,Dearle,Yes,15,Mass Customer
5ec615322b1eb004f0687b5f,33,4,N,1961-10-03T00:00:00.000Z,Talbot,Male,IT,NaN,NaN,No,7,Mass Customer
